Loading repository data...
S | Name                                  | Type       | Version                    | Arch   | Repository                
--+---------------------------------------+------------+----------------------------+--------+---------------------------
i | IPython                               | package    | 0.10-3.2                   | noarch | repo-oss                  
i | dbus-1-python                         | package    | 0.83.0-28.2                | x86_64 | repo-oss                  
i | gimp-plugins-python                   | package    | 2.6.7-4.4                  | x86_64 | repo-oss                  
i | gnome-python-desktop                  | package    | 2.28.0-2.3                 | x86_64 | repo-oss                  
i | libboost_python1_39_0                 | package    | 1.39.0-19.1                | x86_64 | (System Packages)         
i | libgpod-python                        | package    | 0.7.2-100.pm.102.2         | x86_64 | (System Packages)         
i | libpython2_6-1_0                      | package    | 2.6.2-6.3                  | x86_64 | repo-oss                  
i | libxml2-python                        | package    | 2.7.3-2.2                  | x86_64 | repo-oss                  
i | python                                | package    | 2.6.2-6.3                  | x86_64 | repo-oss                  
i | python-CDDB                           | package    | 1.4-0.pm.4.1               | x86_64 | 3rdParty:PackMan          
i | python-ReportLab                      | package    | 2.3-1.1                    | x86_64 | repo-contrib-standard     
i | python-SOAPpy                         | package    | 0.12.0-0.pm.2.1            | i586   | 3rdParty:PackMan          
i | python-avahi                          | package    | 0.6.25-4.5.1               | x86_64 | repo-oss                  
i | python-base                           | package    | 2.6.2-6.3                  | x86_64 | repo-oss                  
i | python-beautifulsoup                  | package    | 3.0.8.1-1.1                | noarch | devel:languages:python    
i | python-cairo                          | package    | 1.8.6-2.1                  | x86_64 | repo-oss                  
i | python-cairo-devel                    | package    | 1.8.6-2.1                  | x86_64 | repo-oss                  
i | python-coherence                      | package    | 0.6.4-5.1                  | x86_64 | repo-oss                  
i | python-compizconfig                   | package    | 0.8.4-3.5                  | x86_64 | X11:Compiz                
i | python-configobj                      | package    | 4.4.0-7.1                  | x86_64 | Gambas2                   
i | python-cssutils                       | package    | 0.9.5b2-3.1                | x86_64 | repo-oss                  
i | python-cssutils-doc                   | package    | 0.9.5b2-3.1                | x86_64 | repo-oss                  
i | python-cups                           | package    | 1.9.42-5.1                 | x86_64 | repo-oss                  
i | python-cupshelpers                    | package    | 1.1.12-2.2.1               | x86_64 | repo-oss-update           
i | python-cupshelpers                    | patch      | 1751                       | noarch | repo-oss-update           
